gene_id	gene_name	C1	C2	C3	sac1	sac2	sac3
b0113	b0113	583.785	580.01	552.248	562.301	554.157	535.296
b0114	b0114	2482.785	2479.01	2451.248	2461.301	2453.157	2434.296
b0115	b0115	1711.785	1708.01	1680.248	1690.301	1682.157	1663.296
b0116	b0116	1243.785	1240.01	1212.248	1222.301	1214.157	1195.296
b0117	b0117	1672.785	1669.01	1641.248	1651.301	1643.157	1624.296
b0118	b0118	2416.785	2413.01	2385.248	2395.301	2387.157	2368.296
b0119	b0119	192.529	188.708	165.239	174.017	167.934	156.453
b0120	b0120	613.785	610.01	582.248	592.301	584.157	565.296
b0121	b0121	685.785	682.01	654.248	664.301	656.157	637.296
b0122	b0122	179.595	175.756	153.076	161.592	155.862	145.203
b0123	b0123	1369.785	1366.01	1338.248	1348.301	1340.157	1321.296
b0124	b0124	2209.785	2206.01	2178.248	2188.301	2180.157	2161.296
b0125	b0125	355.785	352.01	324.248	334.301	326.157	307.296
b0126	b0126	481.785	478.01	450.248	460.301	452.157	433.296
b0127	b0127	745.785	742.01	714.248	724.301	716.157	697.296
b0128	b0128	589.785	586.01	558.248	568.301	560.157	541.296
b0129	b0129	262.913	258.986	232.513	242.305	234.762	218.659
b0130	b0130	1048.785	1045.01	1017.248	1027.301	1019.157	1000.296
b0131	b0131	208.284	204.374	180.039	189.226	182.689	170.126
b0132	b0132	721.785	718.01	690.248	700.301	692.157	673.296
b0133	b0133	670.785	667.01	639.248	649.301	641.157	622.296
b0134	b0134	613.785	610.01	582.248	592.301	584.157	565.296
b0135	b0135	1057.785	1054.01	1026.248	1036.301	1028.157	1009.296
b0136	b0136	415.785	412.01	384.248	394.301	386.157	367.296
b0137	b0137	424.785	398.24731374538	393.248	403.301	395.157	376.296
b0138	b0138	388.785	385.01	357.248	367.301	359.157	340.296
b0139	b0139	2416.785	2413.01	2385.248	2395.301	2387.157	2368.296
b0140	b0140	531.189326361522	556.01	528.248	531.189326361522	530.157	511.296
b0141	b0141	403.785	400.01	372.248	382.301	374.157	355.296
b0142	b0142	299.617	295.808	268.385	278.414	270.393	252.464
b0143	b0143	1216.785	1213.01	1185.248	1195.301	1187.157	1168.296
b0144	b0144	745.785	742.01	714.248	724.301	716.157	697.296
b0145	b0145	276.95	273.046	246.145	256.057	248.332	231.475
b0146	b0146	523.785	520.01	492.248	502.301	494.157	475.296
b0147	b0147	349.785	346.01	318.248	328.301	320.157	301.296
b0148	b0148	2248.785	2245.01	2217.248	2227.301	2219.157	2200.296
b0149	b0149	2285.57439331845	2284.6549555542	2254.9092300742	2265.36137640417	2256.5910620267	2238.96100921262
b0150	b0150	2062.785	2059.01	2031.248	2041.301	2033.157	2014.296
b0151	b0151	616.785	613.01	585.248	595.301	587.157	568.296
b0152	b0152	709.785	706.01	678.248	688.301	680.157	661.296
b0153	b0153	1801.785	1798.01	1770.248	1780.301	1772.157	1753.296
b0154	b0154	1099.785	1096.01	1068.248	1078.301	1070.157	1051.296
b0155	b0155	1240.785	1237.01	1209.248	1219.301	1211.157	1192.296
b0156	b0156	177.019	173.218	150.687	159.154	153.491	142.981
b0157	b0157	442.785	439.01	411.248	421.301	413.157	394.296
b0158	b0158	619.785	616.01	588.248	598.301	590.157	571.296
b0159	b0159	517.785	514.01	486.248	496.301	488.157	469.296
b0160	b0160	1336.785	1333.01	1305.248	1315.301	1307.157	1288.296
b0161	b0161	1243.785	1240.01	1212.248	1222.301	1214.157	1195.296
b0162	b0162	976.785	973.01	945.248	955.301	947.157	928.296
b0163	b0163	213.615	209.666	185.12	194.365	187.72	174.787
b0164	b0164	631.785	628.01	600.248	610.301	602.157	583.296
b0166	b0166	643.785	640.01	612.248	622.301	614.157	595.296
b0167	b0167	2491.785	2488.01	2460.248	2470.301	2462.157	2443.296
b0168	b0168	613.785	610.01	582.248	592.301	584.157	565.296
b0169	b0169	544.785	541.01	513.248	523.301	515.157	496.296
b0170	b0170	670.785	667.01	639.248	649.301	641.157	622.296
b0171	b0171	544.785	541.01	513.248	523.301	515.157	496.296
b0172	b0172	376.785	373.01	345.248	355.301	347.157	328.296
b0173	b0173	1015.785	1012.01	984.248	994.301	986.157	967.296
b0174	b0174	580.785	577.01	549.248	559.301	551.157	532.296
b0175	b0175	676.785	673.01	645.248	655.301	647.157	628.296
b0176	b0176	1171.785	1168.01	1140.248	1150.301	1142.157	1123.296
b0177	b0177	2251.785	2248.01	2220.248	2230.301	2222.157	2203.296
b0178	b0178	305.365	301.529	273.991	284.065	275.957	257.773
b0179	b0179	844.785	841.01	813.248	823.301	815.157	796.296
b0180	b0180	276.95	273.046	246.145	256.057	248.332	231.475
b0181	b0181	607.785	604.01	576.248	586.301	578.157	559.296
b0182	b0182	967.785	964.01	936.248	946.301	938.157	919.296
b0183	b0183	415.785	412.01	384.248	394.301	386.157	367.296
b0184	b0184	3301.785	3298.01	3270.248	3280.301	3272.157	3253.296
b0185	b0185	778.785	775.01	747.248	757.301	749.157	730.296
b0186	b0186	1960.785	1957.01	1929.248	1939.301	1931.157	1912.296
b0187	b0187	216.283	212.329	187.67	196.955	190.229	177.115
b0188	b0188	1117.785	1114.01	1086.248	1096.301	1088.157	1069.296
b0189	b0189	105.665	102.761	85.236	92.013	88.636	82.814
b0190	b0190	364.785	361.01	333.248	343.301	335.157	316.296
b0191	b0191	246.179	242.277	216.379	226.139	218.714	203.664
b0192	b0192	529.785	526.01	498.248	508.301	500.157	481.296
b0193	b0193	643.785	640.01	612.248	622.301	614.157	595.296
b0194	b0194	1537.785	1534.01	1506.248	1516.301	1508.157	1489.296
b0195	b0195	526.785	523.01	495.248	505.301	497.157	478.296
b0196	b0196	229.727	225.809	200.598	210.133	202.996	189.019
b0197	b0197	634.785	631.01	603.248	613.301	605.157	586.296
b0198	b0198	472.785	469.01	441.248	451.301	443.157	424.296
b0199	b0199	850.785	847.01	819.248	829.301	821.157	802.296
b0200	b0200	394.785	391.01	363.248	373.301	365.157	346.296
b0201	b0201	1360.785	1357.01	1329.248	1339.301	1331.157	1312.296
b0202	b0202	13.7664254619709	15.81	13.7664254619709	13.7664254619709	11.987	13.7664254619709
b0203	b0203	13.682	15.818	12.3498759417604	11.602	11.849	9.656
b0204	b0204	2722.785	2719.01	2691.248	2701.301	2693.157	2674.296
b0205	b0205	22.962	24.077	16.407	19.961	20.19	16.688
b0206	b0206	10.2280375953888	10.2280375953888	9.316	11.745	10.2280375953888	9.779
b0207	b0207	622.785	619.01	591.248	601.301	593.157	574.296
b0208	b0208	733.785	730.01	702.248	712.301	704.157	685.296
b0209	b0209	619.785	616.01	588.248	598.301	590.157	571.296
b0210	b0210	442.785	439.01	411.248	421.301	413.157	394.296
b0211	b0211	1177.785	1174.01	1146.248	1156.301	1148.157	1129.296
b0212	b0212	574.785	571.01	543.248	553.301	545.157	526.296
b0213	b0213	541.785	538.01	510.248	520.301	512.157	493.296
b0214	b0214	288.259	284.427	257.181	267.152	259.321	241.894
b0215	b0215	550.785	547.01	519.248	529.301	521.157	502.296
b0216	b0216	13.766	15.81	12.45430569867	11.745	11.987	9.779
b0217	b0217	604.785	601.01	573.248	583.301	575.157	556.296
b0219	b0219	589.785	586.01	558.248	568.301	560.157	541.296
b0220	b0220	293.903	290.113	262.757	272.763	264.822	247.161
b0221	b0221	2263.785	2260.01	2232.248	2242.301	2234.157	2215.296
b0222	b0222	397.785	394.01	366.248	376.301	368.157	349.296
b0223	b0223	586.785	583.01	555.248	565.301	557.157	538.296
b0224	b0224	559.785	556.01	528.248	538.301	530.157	511.296
b0225	b0225	123.559	120.243	101.46	108.572	104.666	97.768
b0226	b0226	110.049	107.064	89.195	96.037	92.488	86.427
b0227	b0227	568.785	565.01	537.248	547.301	539.157	520.296
b0228	b0228	316.878	313.081	285.337	295.394	287.269	268.491
b0231	b0231	874.785	871.01	843.248	853.301	845.157	826.296
b0232	b0232	135.264	131.788	112.059	119.521	115.272	107.591
b0233	b0233	224.312	220.392	195.43	204.811	197.839	184.224
b0234	b0234	274.136	248.630226707746	243.408	253.301	245.59	228.887
b0237	b0237	1276.785	1273.01	1245.248	1255.301	1247.157	1228.296
b0238	b0238	279.763	275.879	248.892	258.808	251.075	234.068
b0239	b0239	1063.785	1060.01	1032.248	1042.301	1034.157	1015.296
b0240	b0240	227.013	223.08	197.996	207.473	200.408	186.611
b0241	b0241	874.785	871.01	843.248	853.301	845.157	826.296
b0242	b0242	922.785	919.01	891.248	901.301	893.157	874.296
b0243	b0243	1072.785	1069.01	1041.248	1051.301	1043.157	1024.296
b0244	b0244	11.9695	11.9695	11.9695	11.9695	11.9695	11.9695
b0245	b0245	152.451825689298	152.451825689298	148.298	156.722	152.451825689298	152.451825689298
b0246	b0246	154.491	135.320729497709	129.774	137.67	132.767	123.823
b0247	b0247	264.471412620058	264.471412620058	265.575	275.575	267.609	249.797
b0248	b0248	279.763	275.879	248.892	267.818117071283	267.818117071283	267.818117071283
b0249	b0249	82.295	82.295	82.295	82.295	82.295	82.295
b0250	b0250	288.259	284.427	257.181	267.152	259.321	241.894
b0251	b0251	265.705	261.786	235.211	245.04	237.479	221.229
b0252	b0252	640.785	637.01	609.248	619.301	611.157	592.296
b0253	b0253	682.785	679.01	651.248	661.301	653.157	634.296
b0254	b0254	712.785	709.01	681.248	691.301	683.157	664.296
b0256	b0256	970.785	967.01	939.248	949.301	941.157	922.296
b0258	b0258	964.785	961.01	933.248	943.301	935.157	916.296
b0259	b0259	799.785	796.01	768.248	778.301	770.157	751.296
b0260	b0260	1222.785	1219.01	1191.248	1201.301	1193.157	1174.296
b0261	b0261	751.785	748.01	720.248	730.301	722.157	703.296
b0262	b0262	865.785	862.01	834.248	844.301	836.157	817.296
b0264	b0264	322.785	319.01	291.248	301.301	293.157	274.296
b0265	b0265	121.296	117.997	99.388	106.447	102.609	95.861
b0266	b0266	182.15	178.317	155.461	164.044	158.255	147.443
b0267	b0267	973.785	970.01	942.248	952.301	944.157	925.296
b0268	b0268	727.785	724.01	696.248	706.301	698.157	679.296
b0269	b0269	1786.785	1783.01	1755.248	1765.301	1757.157	1738.296
b0270	b0270	1201.785	1198.01	1170.248	1180.301	1172.157	1153.296
b0271	b0271	1429.785	1426.01	1398.248	1408.301	1400.157	1381.296
b0272	b0272	577.785	574.01	546.248	556.301	548.157	529.296
b0273	b0273	823.785	820.01	792.248	802.301	794.157	775.296
b0274	b0274	322.785	319.01	291.248	301.301	293.157	274.296
b0275	b0275	121.296	117.997	99.388	106.447	102.609	95.861
b0276	b0276	550.785	547.01	519.248	529.301	521.157	502.296
b0277	b0277	445.785	442.01	414.248	424.301	416.157	397.296
b0278	b0278	517.785	514.01	486.248	496.301	488.157	469.296
b0279	b0279	673.785	670.01	642.248	652.301	644.157	625.296
b0280	b0280	262.913	258.986	232.513	242.305	234.762	218.659
b0281	b0281	1219.785	1216.01	1188.248	1198.301	1190.157	1171.296
b0282	b0282	235.183	231.265	205.812	215.451	208.199	193.852
b0283	b0283	775.785	772.01	744.248	754.301	746.157	727.296
b0284	b0284	2017.785	2014.01	1986.248	1996.301	1988.157	1969.296
b0285	b0285	775.785	772.01	744.248	754.301	746.157	727.296
b0286	b0286	508.785	505.01	477.248	487.301	479.157	460.296
b0287	b0287	433.785	430.01	402.248	412.301	404.157	385.296
b0288	b0288	139.885568460963	139.885568460963	138.897	147.094	141.809	132.16
b0289	b0289	529.785	526.01	498.248	508.301	500.157	481.296
b0290	b0290	1462.785	1459.01	1431.248	1441.301	1433.157	1414.296
b0291	b0291	2344.785	2341.01	2313.248	2323.301	2315.157	2296.296
b0292	b0292	487.785	484.01	456.248	466.301	458.157	439.296
b0293	b0293	406.785	403.01	375.248	385.301	377.157	358.296
b0294	b0294	378.248	378.248	378.248	378.248	378.248	378.248
b0295	b0295	75.5291666666667	75.5291666666667	75.5291666666667	75.5291666666667	75.5291666666667	75.5291666666667
b0296	b0296	112.293	109.239	91.183	99.6791923241128	99.6791923241128	88.262
b0298	b0298	140.005	136.488	116.409	124	119.558	111.57
b0299	b0299	685.785	682.01	654.248	664.301	656.157	637.296
b0301	b0301	412.785	409.01	381.248	391.301	383.157	364.296
b0303	b0303	92.77	79.4502949262569	73.931	80.459	79.4502949262569	72.206
b0304	b0304	1144.785	1141.01	1113.248	1123.301	1115.157	1096.296
b0305	b0305	673.785	670.01	642.248	652.301	644.157	625.296
b0306	b0306	538.785	535.01	507.248	517.301	509.157	490.296
b0307	b0307	1246.785	1243.01	1215.248	1225.301	1217.157	1198.296
b0308	b0308	514.785	511.01	483.248	493.301	485.157	466.296
b0310	b0310	487.785	462.075830343911	456.248	466.301	462.075830343911	439.296
b0311	b0311	1489.785	1486.01	1458.248	1468.301	1460.157	1441.296
b0312	b0312	1291.785	1288.01	1260.248	1270.301	1262.157	1243.296
b0313	b0313	406.785	403.01	375.248	385.301	377.157	358.296
b0314	b0314	1852.785	1849.01	1821.248	1831.301	1823.157	1804.296
b0315	b0315	907.785	904.01	876.248	886.301	878.157	859.296
b0316	b0316	751.785	748.01	720.248	730.301	722.157	703.296
b0317	b0317	316.878	313.081	285.337	295.394	287.269	299.308785529037
b0318	b0318	424.785	421.01	393.248	403.301	395.157	376.296
b0319	b0319	655.641238689621	679.01	651.248	661.301	653.157	634.296
b0320	b0320	1366.785	1363.01	1335.248	1345.301	1337.157	1318.296
b0321	b0321	1237.785	1234.01	1206.248	1216.301	1208.157	1189.296
b0322	b0322	156.945	153.304	132.05	140.018	135.017	125.887
b0323	b0323	769.785	766.01	738.248	748.301	740.157	721.296
b0324	b0324	1201.785	1198.01	1170.248	1180.301	1172.157	1153.296
b0325	b0325	868.785	865.01	837.248	847.301	839.157	820.296
b0326	b0326	601.919813077789	601.919813077789	603.248	613.301	605.157	586.296
b0327	b0327	86.905	86.905	86.905	86.905	86.905	86.905
b0328	b0328	490.785	487.01	459.248	469.301	461.157	442.296
b0329	b0329	121.296	117.997	99.388	106.447	102.609	95.861
b0330	b0330	1405.785	1402.01	1374.248	1384.301	1376.157	1357.296
b0331	b0331	683.271675333648	706.01	678.248	688.301	683.271675333648	661.296
b0333	b0333	988.785	985.01	957.248	967.301	959.157	940.296
b0334	b0334	1270.785	1267.01	1239.248	1249.301	1241.157	1222.296
b0335	b0335	1705.785	1702.01	1674.248	1684.301	1676.157	1657.296
b0336	b0336	1078.785	1075.01	1047.248	1057.301	1049.157	1030.296
b0337	b0337	1102.785	1099.01	1071.248	1081.301	1073.157	1054.296
b0338	b0338	718.785	715.01	687.248	697.301	689.157	670.296
b0339	b0339	478.785	475.01	447.248	457.301	449.157	430.296
b0340	b0340	291.072	287.29	259.964	269.948	262.087	244.518
b0341	b0341	973.785	970.01	942.248	952.301	944.157	925.296
b0342	b0342	430.785	427.01	399.248	409.301	401.157	382.296
b0343	b0343	1072.785	1069.01	1041.248	1051.301	1043.157	1024.296
b0344	b0344	2893.785	2890.01	2862.248	2872.301	2864.157	2845.296
b0345	b0345	901.785	898.01	870.248	880.301	872.157	853.296
b0346	b0346	652.785	649.01	621.248	631.301	623.157	604.296
b0347	b0347	1483.785	1480.01	1452.248	1462.301	1454.157	1435.296
b0348	b0348	763.785	760.01	732.248	742.301	734.157	715.296
b0349	b0349	685.785	682.01	654.248	664.301	656.157	637.296
b0350	b0350	628.785	625.01	597.248	607.301	599.157	580.296
b0351	b0351	769.785	766.01	738.248	748.301	740.157	721.296
b0352	b0352	832.785	829.01	801.248	811.301	803.157	784.296
b0353	b0353	1030.785	1027.01	999.248	1009.301	1001.157	982.296
b0354	b0354	358.785	355.01	327.248	337.301	329.157	310.296
b0355	b0355	652.785	649.01	621.248	631.301	623.157	604.296
b0356	b0356	928.785	925.01	897.248	907.301	899.157	880.296
b0357	b0357	121.296	117.997	99.388	106.447	102.609	95.861
b0358	b0358	592.785	589.01	561.248	571.301	563.157	544.296
b0360	b0360	195.147	191.299	167.686	176.548	170.349	158.716
b0361	b0361	724.785	721.01	693.248	703.301	695.157	676.296
b0363	b0363	1015.785	1012.01	984.248	994.301	986.157	967.296
b0364	b0364	328.296	328.296	328.296	328.296	328.296	328.296
b0365	b0365	781.785	778.01	750.248	760.301	752.157	733.296
b0366	b0366	586.785	583.01	555.248	565.301	557.157	538.296
b0367	b0367	646.785	643.01	615.248	625.301	617.157	598.296
b0368	b0368	670.785	667.01	639.248	649.301	641.157	622.296
b0369	b0369	793.785	790.01	762.248	772.301	764.157	745.296
b0372	b0372	685.785	682.01	654.248	664.301	656.157	637.296
b0373	b0373	140.005	136.488	116.409	124	119.558	111.57
b0375	b0375	394.296	394.296	394.296	394.296	394.296	394.296
b0376	b0376	976.785	973.01	945.248	955.301	947.157	928.296
b0377	b0377	1039.785	1036.01	1008.248	1018.301	1010.157	991.296
b0378	b0378	913.785	910.01	882.248	892.301	884.157	865.296
b0379	b0379	147.18	143.6	123.03	130.781	126.11	117.649
b0380	b0380	76.365	74.436	59.858	65.923	63.534	58.774
b0381	b0381	913.785	910.01	882.248	892.301	884.157	865.296
b0382	b0382	110.049	107.064	89.195	96.037	92.488	86.427
b0383	b0383	1234.785	1231.01	1203.248	1213.301	1205.157	1186.296
b0384	b0384	156.945	153.304	132.05	140.018	135.017	125.887
b0385	b0385	934.785	931.01	903.248	913.301	905.157	886.296
b0386	b0386	628.785	625.01	597.248	607.301	599.157	580.296
b0387	b0387	279.763	275.879	248.892	258.808	251.075	234.068
b0388	b0388	343.785	340.01	312.248	322.301	314.157	295.296
b0389	b0389	62.691	61.454	48.525	54.086	52.162	47.707
b0390	b0390	496.785	493.01	465.248	475.301	467.157	448.296
b0391	b0391	128.192	124.851	105.683	112.871	108.865	101.667
b0393	b0393	730.785	727.01	699.248	709.301	701.157	682.296
b0394	b0394	727.785	724.01	696.248	706.301	698.157	679.296
b0396	b0396	1003.785	1000.01	972.248	982.301	974.157	955.296
b0397	b0397	2965.785	2962.01	2934.248	2944.301	2936.157	2917.296
b0398	b0398	1021.785	1018.01	990.248	1000.301	992.157	973.296
b0399	b0399	508.785	505.01	477.248	487.301	479.157	460.296
b0400	b0400	1114.785	1111.01	1083.248	1093.301	1085.157	1066.296
b0401	b0401	1138.785	1135.01	1107.248	1117.301	1109.157	1090.296
b0402	b0402	1192.785	1189.01	1161.248	1171.301	1163.157	1144.296
b0403	b0403	1633.785	1630.01	1602.248	1612.301	1604.157	1585.296
b0404	b0404	400.785	397.01	369.248	379.301	371.157	352.296
b0405	b0405	889.785	886.01	858.248	868.301	860.157	841.296
b0406	b0406	946.785	943.01	915.248	925.301	917.157	898.296
b0407	b0407	166.865	163.178	141.213	149.492	144.116	134.256
b0408	b0408	1666.785	1663.01	1635.248	1645.301	1637.157	1618.296
b0409	b0409	790.785	787.01	759.248	769.301	761.157	742.296
b0410	b0410	179.595	175.756	153.076	161.592	155.862	145.203
b0411	b0411	703.785	700.01	672.248	682.301	674.157	655.296
b0412	b0412	358.785	355.01	327.248	337.301	329.157	310.296
b0413	b0413	271.311	267.415	240.665	250.534	242.894	226.321
b0414	b0414	922.785	919.01	891.248	901.301	893.157	874.296
b0415	b0415	291.072	287.29	259.964	269.948	262.087	244.518
b0416	b0416	243.397	239.518	213.713	223.457	216.074	201.21
b0417	b0417	796.785	793.01	765.248	775.301	767.157	748.296
b0418	b0418	337.785	334.01	306.248	316.301	308.157	289.296
b0419	b0419	793.785	790.01	762.248	772.301	764.157	745.296
b0420	b0420	1681.785	1678.01	1650.248	1660.301	1652.157	1633.296
b0421	b0421	718.785	715.01	687.248	697.301	689.157	670.296
b0422	b0422	96.986	94.263	77.569	84.139	81.113	75.679
b0423	b0423	1267.785	1264.01	1236.248	1246.301	1238.157	1219.296
b0424	b0424	409.785	406.01	378.248	388.301	380.157	361.296
b0425	b0425	730.785	727.01	699.248	709.301	701.157	682.296
b0426	b0426	311.144	307.283	279.649	289.673	281.584	263.103
b0427	b0427	1183.785	1180.01	1152.248	1162.301	1154.157	1135.296
b0428	b0428	709.785	706.01	678.248	688.301	680.157	661.296
b0429	b0429	164.394	160.68	138.897	147.094	141.809	132.16
b0430	b0430	433.785	430.01	402.248	412.301	404.157	385.296
b0431	b0431	1810.785	1807.01	1779.248	1789.301	1781.157	1762.296
b0432	b0432	766.785	763.01	735.248	745.301	737.157	718.296
b0433	b0433	1294.785	1291.01	1263.248	1273.301	1265.157	1246.296
